"","URN","LAESTAB","Schoolname","Ofstedphase","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","daysbetween","prev_out","curr_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"1",125500,9372001,"Nursery Hill Primary School","Primary","Community School","West Midlands","Warwickshire",2019-12-12,3,2016-06-21,2,431195,293633,"0","E07000218","E01031008",937,1269,"2","3","4",120,"Y","N",0.118854329970255,0.881145670029745
"2",125507,9372017,"Claverdon Primary School","Primary","Community School","West Midlands","Warwickshire",2014-04-09,2,2009-03-19,2,419344,264669,"0","E07000221","E01031195",937,1847,"2","2","1",202,"Y","Y",0.055551758415341,0.944448241584659
"3",125510,9372021,"Wheelwright Lane Primary School","Primary","Community School","West Midlands","Warwickshire",2013-01-22,2,2008-07-09,2,433698,284488,"0","E07000219","E01032588",937,1658,"2","2","3",213,"Y","Y",0.122700037675962,0.877299962324038
"4",125511,9372024,"Great Alne Primary School","Primary","Community School","West Midlands","Warwickshire",2013-11-26,2,2012-05-29,3,411146,259130,"0","E07000221","E01031208",937,546,"3","2","2",101,"N","Y",0.0977184511017386,0.902281548898261
"5",125512,9372028,"Michael Drayton Junior School","Primary","Community School","West Midlands","Warwickshire",2016-05-09,2,2014-04-30,3,432531,293952,"0","E07000218","E01031030",937,740,"3","2","4",539,"N","Y",0.108809775642188,0.891190224357812
"6",125513,9372029,"Nathaniel Newton Infant School","Primary","Community School","West Midlands","Warwickshire",2014-11-28,2,2010-05-17,2,432636,293642,"0","E07000218","E01031030",937,1656,"2","2","4",265,"Y","Y",0.147567744004543,0.852432255995457
"7",125515,9372032,"Hurley Primary School","Primary","Community School","West Midlands","Warwickshire",2014-06-13,2,2010-05-14,2,424679,295941,"0","E07000218","E01031032",937,1491,"2","2","4",207,"Y","Y",0.157108889113631,0.842891110886369
"8",125519,9372043,"Quinton Primary School","Primary","Community School","West Midlands","Warwickshire",2013-07-10,2,2011-09-13,3,417756,247211,"0","E07000221","E01031212",937,666,"3","2","1",208,"N","Y",0.0551519851553233,0.944848014844677
"9",125521,9372046,"Snitterfield Primary School","Primary","Community School","West Midlands","Warwickshire",2014-04-29,2,2009-03-02,2,421306,259910,"0","E07000221","E01031217",937,1884,"2","2","1",101,"Y","Y",0.0627033873978312,0.937296612602169
"10",125525,9372052,"Thomas Jolyffe Primary School","Primary","Community School","West Midlands","Warwickshire",2019-01-06,2,2013-10-03,2,420039,256022,"0","E07000221","E01031228",937,1921,"2","2","2",373,"Y","Y",0.0711314273120172,0.928868572687983
"11",125526,9372053,"Bridgetown Primary School","Primary","Community School","West Midlands","Warwickshire",2013-01-11,2,2011-02-16,3,420982,254156,"0","E07000221","E01031225",937,695,"3","2","1",398,"N","Y",0.0438121636996758,0.956187836300324
"12",125527,9372055,"Studley Community Infants' School","Primary","Community School","West Midlands","Warwickshire",2013-06-13,2,2010-03-05,2,407193,263832,"0","E07000221","E01031239",937,1196,"2","2","2",172,"Y","Y",0.0900266582672488,0.909973341732751
"13",125530,9372064,"Lighthorne Heath Primary School","Primary","Community School","West Midlands","Warwickshire",2012-10-19,2,2010-07-13,3,434926,255940,"0","E07000221","E01031207",937,829,"3","2","4",44,"N","Y",0.186609603167156,0.813390396832844
"14",125537,9372103,"Chilvers Coton Community Infant School","Primary","Community School","West Midlands","Warwickshire",2016-02-25,2,2014-02-26,3,435851,291202,"0","E07000219","E01031119",937,729,"3","2","4",209,"N","Y",0.156771691466812,0.843228308533188
"15",125539,9372107,"Galley Common Infant School","Primary","Community School","West Midlands","Warwickshire",2010-12-14,1,2008-02-25,2,431788,292287,"0","E07000219","E01031083",937,1023,"2","1","3",155,"Y","Y",0.0834806213707573,0.916519378629243
"16",125545,9372123,"Whitestone Infant School","Primary","Community School","West Midlands","Warwickshire",2011-05-26,1,2008-07-03,2,438116,289642,"0","E07000219","E01031056",937,1057,"2","1","2",268,"Y","Y",0.0502871723589978,0.949712827641002
"17",125550,9372307,"Thorns Community Infant School","Primary","Community School","West Midlands","Warwickshire",2013-03-20,2,2008-02-18,2,429527,271569,"0","E07000222","E01031307",937,1857,"2","2","1",173,"Y","Y",0.0575227180731849,0.942477281926815
"18",125551,9372308,"Clinton Primary School","Primary","Community School","West Midlands","Warwickshire",2019-06-12,1,2014-04-11,2,428217,271250,"0","E07000222","E01031304",937,1888,"2","1","1",216,"Y","Y",0.0337678282693228,0.966232171730677
"19",125552,9372309,"Park Hill Junior School","Primary","Community School","West Midlands","Warwickshire",2011-10-31,2,2009-06-15,3,430053,272413,"0","E07000222","E01031298",937,868,"3","2","1",247,"N","Y",0.0526188076343775,0.947381192365622
"20",125554,9372312,"Clapham Terrace Community Primary School and Nursery","Primary","Community School","West Midlands","Warwickshire",2014-02-05,2,2012-11-23,3,432523,265049,"0","E07000222","E01031337",937,439,"3","2","2",226,"N","Y",0.0845463272515165,0.915453672748484
"21",125556,9372315,"Telford Junior School","Primary","Community School","West Midlands","Warwickshire",2019-09-06,3,2013-11-26,2,432824,268281,"0","E07000222","E01031287",937,2110,"2","3","1",342,"Y","N",0.0308892409361921,0.969110759063808
"22",125559,9372322,"Westgate Primary School","Primary","Community School","West Midlands","Warwickshire",2014-03-19,2,2012-06-15,2,427943,264762,"0","E07000222","E01031324",937,642,"2","2","3",170,"Y","Y",0.128721261675173,0.871278738324827
"23",125560,9372324,"Whitnash Primary School","Primary","Community School","West Midlands","Warwickshire",2013-10-10,2,2012-03-29,3,432406,263882,"0","E07000222","E01031327",937,560,"3","2","3",271,"N","Y",0.114963516150995,0.885036483849005
"24",125561,9372325,"Newburgh Primary School","Primary","Community School","West Midlands","Warwickshire",2015-02-25,2,2012-06-27,2,427299,263876,"0","E07000222","E01033255",937,973,"2","2","3",423,"Y","Y",0.0966771209155808,0.903322879084419
"25",125562,9372326,"Telford Infant School","Primary","Community School","West Midlands","Warwickshire",2014-03-19,2,2011-09-13,2,432969,268238,"0","E07000222","E01031287",937,918,"2","2","1",267,"Y","Y",0.051362746631654,0.948637253368346
"26",125563,9372327,"Briar Hill Infant School","Primary","Community School","West Midlands","Warwickshire",2014-03-20,1,2009-04-23,2,432639,263168,"0","E07000222","E01031330",937,1792,"2","1","1",267,"Y","Y",0.0317104937150138,0.968289506284986
"27",125565,9372330,"Brookhurst Primary School","Primary","Community School","West Midlands","Warwickshire",2014-11-12,2,2010-04-01,2,430458,266418,"0","E07000222","E01031292",937,1686,"2","2","1",408,"Y","Y",0.0432814299642434,0.956718570035757
"28",125566,9372332,"Emscote Infant School","Primary","Community School","West Midlands","Warwickshire",2013-05-02,1,2010-04-16,2,429608,265694,"0","E07000222","E01031309",937,1112,"2","1","2",159,"Y","Y",0.0573504407897931,0.942649559210207
"29",125570,9372405,"Long Lawford Primary School","Primary","Community School","West Midlands","Warwickshire",2019-03-04,2,2012-06-13,1,447577,276091,"0","E07000220","E01031165",937,2455,"1","2","3",492,"Y","Y",0.089266178598268,0.910733821401732
"30",125573,9372410,"Abbots Farm Infant School","Primary","Community School","West Midlands","Warwickshire",2017-01-19,2,2014-11-06,3,452571,274568,"0","E07000220","E01031158",937,805,"3","2","2",174,"N","Y",0.089818094949788,0.910181905050212
"31",125575,9372415,"Eastlands Primary School","Primary","Community School","West Midlands","Warwickshire",2013-03-07,2,2010-07-13,3,451919,274825,"0","E07000220","E01031157",937,968,"3","2","2",237,"N","Y",0.0834677360080264,0.916532263991974
"32",125576,9372417,"Northlands Primary School","Primary","Community School","West Midlands","Warwickshire",2015-12-02,2,2013-11-11,3,450717,275648,"0","E07000220","E01031174",937,751,"3","2","3",238,"N","Y",0.11931183397553,0.88068816602447
