"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"1",9372001,"Primary",431195,293633,"0","E07000218","E01031008",937,"3","4",120,"N",NA,0.099212073684205,0.900787926315795
"2",9372017,"Primary",419344,264669,"0","E07000221","E01031195",937,"2","1",202,"Y",NA,0.0638158949117466,0.936184105088253
"3",9372021,"Primary",433698,284488,"0","E07000219","E01032588",937,"2","3",213,"Y",NA,0.125640162311211,0.874359837688789
"4",9372024,"Primary",411146,259130,"0","E07000221","E01031208",937,"2","2",101,"Y",NA,0.083643730536522,0.916356269463478
"5",9372028,"Primary",432531,293952,"0","E07000218","E01031030",937,"2","4",539,"Y",NA,0.12299202489844,0.87700797510156
"6",9372029,"Primary",432636,293642,"0","E07000218","E01031030",937,"2","4",265,"Y",NA,0.145139733995028,0.854860266004972
"7",9372032,"Primary",424679,295941,"0","E07000218","E01031032",937,"2","4",207,"Y",NA,0.146381275228796,0.853618724771204
"8",9372043,"Primary",417756,247211,"0","E07000221","E01031212",937,"2","1",208,"Y",NA,0.0633005745774848,0.936699425422515
"9",9372046,"Primary",421306,259910,"0","E07000221","E01031217",937,"2","1",101,"Y",NA,0.066853495504776,0.933146504495224
"10",9372052,"Primary",420039,256022,"0","E07000221","E01031228",937,"2","2",373,"Y",NA,0.0820320903633594,0.91796790963664
"11",9372053,"Primary",420982,254156,"0","E07000221","E01031225",937,"2","1",398,"Y",NA,0.0656063250478268,0.934393674952173
"12",9372055,"Primary",407193,263832,"0","E07000221","E01031239",937,"2","2",172,"Y",NA,0.0876420315821219,0.912357968417878
"13",9372064,"Primary",434926,255940,"0","E07000221","E01031207",937,"2","4",44,"Y",NA,0.190790575193009,0.809209424806991
"14",9372103,"Primary",435851,291202,"0","E07000219","E01031119",937,"2","4",209,"Y",NA,0.139213240396493,0.860786759603506
"15",9372107,"Primary",431788,292287,"0","E07000219","E01031083",937,"1","3",155,"Y",NA,0.133947541863457,0.866052458136544
