"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","IDACI","num_pupils","bad_out_chance","good_out_chance","URN","Schoolname","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","daysbetween"
"1",9372001,"Primary",431195,293633,"0","E07000218","E01031008",937,"4",120,0.287311258410312,0.712688741589688,125500,"Nursery Hill Primary School","Community School","West Midlands","Warwickshire",2019-12-12,3,2016-06-21,2,1269
"2",9372017,"Primary",419344,264669,"0","E07000221","E01031195",937,"1",202,0.226493800917957,0.773506199082043,125507,"Claverdon Primary School","Community School","West Midlands","Warwickshire",2014-04-09,2,2009-03-19,2,1847
"3",9372021,"Primary",433698,284488,"0","E07000219","E01032588",937,"3",213,0.347721818717586,0.652278181282414,125510,"Wheelwright Lane Primary School","Community School","West Midlands","Warwickshire",2013-01-22,2,2008-07-09,2,1658
"4",9372024,"Primary",411146,259130,"0","E07000221","E01031208",937,"2",101,0.275284170298356,0.724715829701644,125511,"Great Alne Primary School","Community School","West Midlands","Warwickshire",2013-11-26,2,2012-05-29,3,546
"5",9372028,"Primary",432531,293952,"0","E07000218","E01031030",937,"4",539,0.432825396825397,0.567174603174603,125512,"Michael Drayton Junior School","Community School","West Midlands","Warwickshire",2016-05-09,2,2014-04-30,3,740
"6",9372029,"Primary",432636,293642,"0","E07000218","E01031030",937,"4",265,0.41685507936508,0.583144920634921,125513,"Nathaniel Newton Infant School","Community School","West Midlands","Warwickshire",2014-11-28,2,2010-05-17,2,1656
"7",9372032,"Primary",424679,295941,"0","E07000218","E01031032",937,"4",207,0.385392777777778,0.614607222222222,125515,"Hurley Primary School","Community School","West Midlands","Warwickshire",2014-06-13,2,2010-05-14,2,1491
"8",9372043,"Primary",417756,247211,"0","E07000221","E01031212",937,"1",208,0.255799356473513,0.744200643526487,125519,"Quinton Primary School","Community School","West Midlands","Warwickshire",2013-07-10,2,2011-09-13,3,666
"9",9372046,"Primary",421306,259910,"0","E07000221","E01031217",937,"1",101,0.2643509437751,0.7356490562249,125521,"Snitterfield Primary School","Community School","West Midlands","Warwickshire",2014-04-29,2,2009-03-02,2,1884
"10",9372052,"Primary",420039,256022,"0","E07000221","E01031228",937,"2",373,0.320391313155499,0.679608686844501,125525,"Thomas Jolyffe Primary School","Community School","West Midlands","Warwickshire",2019-01-06,2,2013-10-03,2,1921
"11",9372053,"Primary",420982,254156,"0","E07000221","E01031225",937,"1",398,0.258150290197504,0.741849709802496,125526,"Bridgetown Primary School","Community School","West Midlands","Warwickshire",2013-01-11,2,2011-02-16,3,695
"12",9372055,"Primary",407193,263832,"0","E07000221","E01031239",937,"2",172,0.266649249663435,0.733350750336565,125527,"Studley Community Infants' School","Community School","West Midlands","Warwickshire",2013-06-13,2,2010-03-05,2,1196
"13",9372064,"Primary",434926,255940,"0","E07000221","E01031207",937,"4",44,0.416030476190476,0.583969523809524,125530,"Lighthorne Heath Primary School","Community School","West Midlands","Warwickshire",2012-10-19,2,2010-07-13,3,829
"14",9372103,"Primary",435851,291202,"0","E07000219","E01031119",937,"4",209,0.40258126984127,0.59741873015873,125537,"Chilvers Coton Community Infant School","Community School","West Midlands","Warwickshire",2016-02-25,2,2014-02-26,3,729
"15",9372107,"Primary",431788,292287,"0","E07000219","E01031083",937,"3",155,0.318012896825397,0.681987103174603,125539,"Galley Common Infant School","Community School","West Midlands","Warwickshire",2010-12-14,1,2008-02-25,2,1023
"16",9372123,"Primary",438116,289642,"0","E07000219","E01031056",937,"2",268,0.250440245461599,0.749559754538401,125545,"Whitestone Infant School","Community School","West Midlands","Warwickshire",2011-05-26,1,2008-07-03,2,1057
"17",9372307,"Primary",429527,271569,"0","E07000222","E01031307",937,"1",173,0.256396578695735,0.743603421304265,125550,"Thorns Community Infant School","Community School","West Midlands","Warwickshire",2013-03-20,2,2008-02-18,2,1857
"18",9372308,"Primary",428217,271250,"0","E07000222","E01031304",937,"1",216,0.2074859437751,0.7925140562249,125551,"Clinton Primary School","Community School","West Midlands","Warwickshire",2019-06-12,1,2014-04-11,2,1888
"19",9372309,"Primary",430053,272413,"0","E07000222","E01031298",937,"1",247,0.24771576638798,0.75228423361202,125552,"Park Hill Junior School","Community School","West Midlands","Warwickshire",2011-10-31,2,2009-06-15,3,868
"20",9372312,"Primary",432523,265049,"0","E07000222","E01031337",937,"2",226,0.269198934657708,0.730801065342292,125554,"Clapham Terrace Community Primary School and Nursery","Community School","West Midlands","Warwickshire",2014-02-05,2,2012-11-23,3,439
"21",9372315,"Primary",432824,268281,"0","E07000222","E01031287",937,"1",342,0.163495674001485,0.836504325998515,125556,"Telford Junior School","Community School","West Midlands","Warwickshire",2019-09-06,3,2013-11-26,2,2110
